Name	Type	Address	Phone
Zionhill - PA (USA)	CONG	2360 Trolley Bridge Rd Quakertown PA  18951	215-804-0952
Cedar Crest Spanish - Allentown PA (USA)	CONG	2050 Martin Luther King Jr Dr Allentown PA  18104-6779	‪(484) 601-2643‬
Central English - Allentown PA (USA)	CONG	2050 Martin Luther King Jr Dr Allentown PA  18104-6779	610-435-5905
East English - Allentown PA (USA)	CONG	2050 Martin Luther King Jr Dr Allentown PA  18104-6779	610-435-5905
Lehigh - Allentown PA (USA)	CONG	2050 Martin Luther King Jr Dr Allentown PA  18104-6779	610-966-4955
Sign Language - Allentown PA (USA)	CONG	2050 Martin Luther King Jr Dr Allentown PA  18104-6779	VP 610-709-5604
Liberty Spanish - Allentown PA (USA)	CONG	2050 Martin Luther King Jr Dr Allentown PA  18104-6779	610 435 5905
Huntingdon Valley - PA (USA)	CONG	375 Byberry Rd Huntingdon Valley PA  19006-4013	2159476221
Burholme - Philadelphia PA (USA)	CONG	375 Byberry Rd Huntingdon Valley PA  19006-4013	215-285-1574
Russian - Philadelphia PA (USA)	CONG	375 Byberry Rd Huntingdon Valley PA  19006-4013	267-499-4825
Uzbek - Russian - Philadelphia PA (USA)	GROUP	375 Byberry Rd Huntingdon Valley PA  19006-4013	267-499-4825
Warminster - PA (USA)	CONG	899 Norristown Rd Warminster PA  18974-2627	215-672-1290
Hatboro - PA (USA)	CONG	899 Norristown Rd Warminster PA  18974-2627	215-672-1290
Quakertown - PA (USA)	CONG	1000 Doylestown Pike Quakertown PA  18951-2819	215-257-7012
South Mountain - Allentown PA (USA)	CONG	1005 E Emmaus Ave Allentown PA  18103-5927	610-533-5630
Saucon Valley - Allentown PA (USA)	CONG	1005 E Emmaus Ave Allentown PA  18103-5927	610-791-0871
Salisbury Spanish - Allentown PA (USA)	CONG	1005 E Emmaus Ave Allentown PA  18103-5927	267-371-3367
English - Bensalem PA (USA)	CONG	2860 Mechanicsville Rd Bensalem PA  19020-2627	267-225-5348
Woodhaven - Philadelphia PA (USA)	CONG	2860 Mechanicsville Rd Bensalem PA  19020-2627	215-639-2224
Spanish - Bensalem PA (USA)	CONG	2860 Mechanicsville Rd Bensalem PA  19020-2627	(215) 639-2224
Albanian - Woodhaven - Philadelphia PA (USA)	GROUP	2860 Mechanicsville Rd Bensalem PA  19020-2627	215-639-2224
Whitehall - PA (USA)	CONG	502 7th St Whitehall PA  18052-6427	610-439-0010
Arabic - Allentown PA (USA)	CONG	502 7th St Whitehall PA  18052-6427	484-347-7627
Whitehall Spanish - Allentown PA (USA)	CONG	502 7th St Whitehall PA  18052-6427	484-273-2434
Slatington - PA (USA)	CONG	8110 PA-873 Slatington PA  18080-3510	610-767-3402
Palmerton - PA (USA)	CONG	8110 PA-873 Slatington PA  18080-3510	610-767-3402
Doylestown - PA (USA)	CONG	4583 Landisville Rd Doylestown PA  18902-1246	215-348-4462
Mill Creek - Levittown PA (USA)	CONG	3601 Green Ln Levittown PA  19057-3101	215-946-1529
Neshaminy Valley - PA (USA)	CONG	3601 Green Ln Levittown PA  19057-3101	267-580-9273
West - Levittown PA (USA)	CONG	3601 Green Ln Levittown PA  19057-3101	518-241-6339
Central - Bethlehem PA (USA)	CONG	2718 Linden St Bethlehem PA  18017-3914	610-691-2930
Spanish - Bethlehem PA (USA)	CONG	2718 Linden St Bethlehem PA  18017-3914	484-332-1585
West - Bethlehem PA (USA)	CONG	2718 Linden St Bethlehem PA  18017-3914	610-691-2930
Towanda - PA (USA)	CONG	422 Old Mills Rd Towanda PA  18848-8194	(570) 265-2411
Morrisville - PA (USA)	CONG	405 Stoopville Rd Newtown PA  18940-9201	215-579-1800
Newtown - PA (USA)	CONG	405 Stoopville Rd Newtown PA  18940-9201	215-579-1800
Nazareth - PA (USA)	CONG	2372 Yost Rd Bath PA  18014-9548	610-759-4026
Roseto - PA (USA)	CONG	2372 Yost Rd Bath PA  18014-9548	610-759-4026
Dallas - PA (USA)	CONG	84 Hildebrandt Rd Dallas PA  18612-9058	5706755844
Duryea - PA (USA)	CONG	1240 Scott St Wilkes Barre PA  18705-3812	570-472-5688
East - Wilkes-Barre PA (USA)	CONG	1240 Scott St Wilkes Barre PA  18705-3812	570-823-3435
South Wyoming Valley - Wilkes-Barre PA (USA)	CONG	1240 Scott St Wilkes Barre PA  18705-3812	570-823-3435
Spanish - Wilkes-Barre PA (USA)	CONG	1240 Scott St Wilkes Barre PA  18705-3812	570-824-3404
American Sign Language - Duryea - PA (USA)	GROUP	1240 Scott St Wilkes Barre PA  18705-3812	570-472-5688
Forks - PA (USA)	CONG	1403 Lieb Rd Easton PA  18040-8114	484-546-2366
Central - Easton PA (USA)	CONG	1403 Lieb Rd Easton PA  18040-8114	(484) 548-8620 call or text
Spanish - Easton PA (USA)	CONG	1403 Lieb Rd Easton PA  18040-8114	484-546-1857
Brodheadsville - PA (USA)	CONG	2413 PA-115 Brodheadsville PA  18322	272-200-6045
Albrightsville - PA (USA)	CONG	2413 PA-115 Brodheadsville PA  18322	272-200-6045
Tunkhannock - PA (USA)	CONG	5536 PA-6 Tunkhannock PA  18657	570-871-0055
Tannersville - PA (USA)	CONG	2279 PA-715 Stroudsburg PA  18360	570 213 9394
Spanish - Mount Pocono PA (USA)	CONG	2279 PA-715 Stroudsburg PA  18360	570-213-9370
English - Mount Pocono PA (USA)	CONG	121 Ward Ave Mount Pocono PA  18344-1162	570-839-1451
Tobyhanna - PA (USA)	CONG	121 Ward Ave Mount Pocono PA  18344-1162	570-839-6852
North - Scranton PA (USA)	CONG	617 Morgan Hwy South Abington Township PA  18411-9128	570-280-6127
South - Scranton PA (USA)	CONG	617 Morgan Hwy South Abington Township PA  18411-9128	570-585-6904
Spanish - Scranton PA (USA)	CONG	617 Morgan Hwy South Abington Township PA  18411-9128	(787) 354-6273
East Stroudsburg - PA (USA)	CONG	2036 Milford Rd East Stroudsburg PA  18301	570-424-9116
Stroudsburg - PA (USA)	CONG	2036 Milford Rd East Stroudsburg PA  18301	570-664-0989
Marshalls Creek - PA (USA)	CONG	2036 Milford Rd East Stroudsburg PA  18301	570-424-9116
Haitian Creole - Marshalls Creek - PA (USA)	GROUP	2036 Milford Rd East Stroudsburg PA  18301	570-424-9116
Mount Cobb - PA (USA)	CONG	2021 Moosic Lake Rd Jefferson Township PA  18436	570-689-4206
Montrose - PA (USA)	CONG	6 Singer Rd Montrose PA  18801-7477	570-432-4014
Carbondale - PA (USA)	CONG	484 Hickory Ridge Rd Greenfield Township PA  18407-3600	570-282-6461
Jermyn - PA (USA)	CONG	484 Hickory Ridge Rd Greenfield Township PA  18407-3600	570-815-1263
Honesdale - PA (USA)	CONG	2756 Lake Ariel Hwy Honesdale PA  18431	276-395-4779
South - Milford PA (USA)	CONG	110 Pinebrook Rd Milford PA  18337-7276	570 296-9321
North - Milford PA (USA)	CONG	110 Pinebrook Rd Milford PA  18337-7276	570-392-6329
